value,volume,xmin,ymin,zmin,xmax,ymax,zmax,xCenter,yCenter,zCenter
1,17,190,251,6,194,253,8,192,252,7
2,20,22,427,7,25,431,9,23.2,429,8
3,17,40,629,7,44,631,9,42,630,8
4,251,75,288,6,85,298,11,80.04,293.12,8.1514
5,7,179,243,7,181,245,9,180,244,8
6,26,7,265,8,12,270,11,9.9231,267.85,9.2692
7,226,21,126,7,30,136,12,25.571,131.58,9.0841
8,340,50,523,7,67,531,11,59.862,527.29,9.3176
9,24,73,369,8,77,372,10,74.792,370.38,9
10,41,72,535,8,77,540,10,74.293,537.29,9
11,544,75,353,6,88,366,13,81.331,359.16,9.5974
12,40,84,320,7,89,324,11,86.6,321.93,9.35
13,12,92,435,8,95,437,11,93.5,436,9.5
14,22,103,658,8,108,662,10,105.5,659.77,9
15,340,148,485,5,158,494,12,153.22,489.46,8.7029
16,7,176,700,8,178,702,10,177,701,9
17,55,184,326,8,190,329,11,186.58,327.38,9.4727
18,72,206,540,8,212,549,12,208.57,544.18,9.5
19,24,287,218,8,291,220,11,289.21,219,9.375
20,42,418,290,8,422,295,12,419.81,292.76,10.048
21,428,24,442,6,34,452,14,29.813,446.94,9.778
22,514,37,597,7,50,609,15,42.724,602.63,10.21
23,640,35,248,6,51,261,16,43.367,254,10.773
24,92,47,99,8,54,103,13,50.446,100.83,10.261
25,83,59,664,7,65,672,12,62,667.96,9.4217
26,598,67,426,7,82,437,14,74.995,430.88,10.403
27,51,93,787,8,97,791,13,95.392,788.8,10.392
28,326,117,404,8,129,417,13,123.32,411.02,10.331
29,24,129,545,9,133,549,11,131.21,547.21,10
30,317,126,691,8,136,703,13,131.3,696.89,10.382
31,2090,140,497,5,157,520,16,148.39,509.84,10.631
32,122,159,452,8,167,458,13,163.14,455.36,10.377
33,50,176,629,8,181,634,11,178.38,631.54,9.5
34,60,177,638,8,182,643,13,179.72,640.2,10.4
35,48,177,232,8,183,236,12,179.75,233.9,10
36,16,246,272,9,249,275,11,247.31,273.69,10
37,41,280,316,8,284,321,11,282.29,318.44,9.8537
38,46,280,396,8,285,400,12,282.89,397.83,10.196
39,198,398,357,8,407,365,14,403.11,360.95,10.838
40,12,467,487,9,470,489,11,468.5,488,10
41,909,6,575,7,22,592,14,13.356,583.86,10.218
42,439,6,599,7,18,610,13,11.658,605.24,10.141
43,69,27,877,9,31,883,12,28.971,879.62,10.667
44,484,24,378,7,36,388,15,29.934,382.17,11.275
45,296,32,88,8,42,98,14,37.091,92.385,10.774
46,1808,32,609,7,51,630,17,41.343,618.39,11.792
47,943,36,660,6,50,674,16,41.87,667.82,11.063
48,1211,47,478,6,61,494,17,54.349,486.22,11.13
49,196,50,711,8,58,719,14,54.347,715.44,10.954
50,757,62,500,8,76,515,17,67.37,509.11,11.564
51,43,77,801,9,82,807,16,79.279,804.09,12.209
52,561,78,440,7,91,451,15,85.239,445.59,10.857
53,31,90,320,9,94,324,12,91.613,321.94,10.581
54,674,92,716,8,109,731,14,100.6,723.66,10.622
55,1416,117,633,7,133,652,16,124.97,643.28,11.082
56,703,119,286,6,132,299,16,126.22,292.83,10.663
57,1699,114,755,8,136,772,18,125.37,764.1,12.483
58,804,168,469,7,184,482,17,176.66,475.45,11.842
59,46,177,14,9,183,18,13,179.89,15.587,11.109
60,609,173,273,6,184,287,15,179.25,279.74,10.412
61,1712,167,257,7,189,273,19,176.14,265.09,12.545
62,595,181,674,8,195,691,16,188.3,683.69,11.924
63,21,190,653,10,192,657,13,191,654.76,11.238
64,578,185,639,8,199,649,19,191.54,643.88,13.168
65,34,225,456,9,229,460,13,227.29,457.65,11.235
66,25,231,752,10,235,755,13,233.16,753.4,11.76
67,355,232,686,8,242,697,15,236.67,691.28,11.214
68,91,234,571,9,241,577,13,237.53,573.48,10.868
69,174,242,336,9,250,344,14,246.14,340.14,11.264
70,111,244,579,10,251,588,16,247.36,583.55,12.667
71,17,259,593,10,261,597,13,260,595,11.647
72,578,264,99,8,274,113,18,268.97,105.92,12.63
73,6561,252,568,8,279,596,32,264.84,581.14,19.128
74,369,297,230,8,306,239,15,301.76,234.55,11.537
75,67,313,430,9,317,436,13,315.06,433.25,11.433
76,365,313,530,9,328,541,15,320.88,535.74,11.518
77,110,332,216,9,339,223,14,335,219.17,11.973
78,114,364,80,9,370,86,13,366.91,83.263,10.965
79,35,371,197,10,375,201,13,372.89,199.11,11.314
80,178,381,303,9,389,311,14,385.34,307.28,11.292
81,120,390,330,9,399,335,15,394.72,332.79,11.708
82,168,410,303,9,417,314,13,413.86,308.42,11.137
83,306,412,593,9,422,605,13,416.66,599.64,11.013
84,7,486,344,10,488,346,12,487,345,11
85,21,495,84,9,499,87,12,497.05,85.476,10.714
86,28,555,72,10,559,77,12,557,74.5,11
87,20,568,353,10,571,356,12,569.5,354.5,11
88,115,598,70,9,607,76,14,602.14,73.07,11.557
89,965,596,44,10,607,59,23,601.93,51.513,16.979
90,148,608,218,10,615,227,17,611.51,222.13,13.865
91,22,641,131,10,644,135,13,642.27,132.77,11.273
92,29,653,214,10,656,220,13,654.59,217.03,11.414
93,39,675,247,10,679,252,13,676.82,249.03,11.231
94,114,6,722,8,10,730,15,8.1579,725.31,11.737
95,252,20,35,9,29,44,17,23.655,40.048,12.163
96,1073,39,456,7,52,468,26,45.926,462.07,14.582
97,785,43,204,7,53,216,24,47.084,210.36,15.196
98,7333,26,254,7,57,292,29,39.709,271.41,17.04
99,22,63,813,10,66,817,13,64.455,815.23,11.5
100,1426,58,711,7,75,726,18,67.201,718.06,12.45
101,1627,69,543,6,85,563,17,76.801,552.73,11.793
102,1111,74,453,6,86,470,18,80.408,461.29,11.918
103,233,106,213,8,113,225,15,109.26,218.21,11.399
104,1571,107,333,7,126,354,18,116.33,341.3,12.219
105,1020,113,422,8,128,441,16,120.94,431.33,12.223
106,1079,133,596,7,148,609,17,140.21,603.36,11.764
107,406,138,743,10,148,757,16,143.48,750.05,12.931
108,1136,161,277,8,176,294,17,169.32,286.39,12.108
109,886,170,551,7,188,562,16,179.4,556.46,11.957
110,1988,191,172,7,213,193,19,201.42,182.01,12.925
111,97,204,156,10,211,162,16,208.22,158.42,13.01
112,203,209,93,10,216,100,17,212.79,96.424,13.059
113,115,257,370,9,265,376,16,260.82,373.2,12.061
114,481,258,140,7,268,149,16,262.75,144.85,11.401
115,50,263,392,10,267,396,15,265.06,393.66,12.44
116,1165,267,256,7,284,271,17,275.05,263.44,12.096
117,1117,275,294,7,289,310,18,281.28,302.07,11.717
118,156,288,499,9,294,509,14,291.05,503.4,11.506
119,693,293,354,9,305,372,17,298.73,363.29,12.733
120,86,345,213,10,351,219,14,348.15,216.27,11.93
121,70,344,500,10,350,505,14,347.24,502.53,12.2
122,127,360,556,10,367,565,14,363.25,560.48,11.709
123,177,364,257,9,369,266,17,366.18,261.38,12.537
124,106,374,309,9,380,316,15,377.09,312.06,12.387
125,208,376,155,10,386,164,16,381.07,159.52,12.625
126,24,385,666,11,388,670,13,386.62,667.79,12
127,1256,414,195,8,432,210,20,422.99,203.74,14.226
128,278,463,250,9,473,262,14,468.03,255.6,11.219
129,43,486,504,9,490,507,14,487.79,505.37,12.023
130,60,495,302,10,500,307,14,497.47,304.8,11.95
131,62,504,298,10,510,304,14,507.4,301.11,12.081
132,41,511,144,10,514,148,14,512.44,145.9,11.756
133,726,527,202,9,540,220,16,533.72,210.56,12.409
134,31,616,629,11,621,633,13,618.55,631.13,12
135,26,655,295,11,660,299,14,657.35,296.96,12.269
136,62,702,153,11,709,161,15,705.08,156.77,12.839
137,17,709,235,11,711,239,13,710,237,12
138,311,728,32,10,741,41,17,735.28,36.437,13.775
139,350,730,287,10,740,298,15,734.51,293.22,12.269
140,26,789,269,11,793,273,16,791.23,270.96,13.769
141,637,3,18,9,14,30,18,8.9702,23.846,13.133
142,2676,23,95,5,40,116,22,31.972,106.69,13.033
143,4766,70,484,7,98,509,23,84.657,496.23,14.479
144,1969,81,372,8,98,391,20,89.725,381.61,13.465
145,436,85,702,11,96,715,20,89.722,707.65,15.995
146,366,87,130,9,99,142,16,91.896,135.97,12.828
147,821,88,273,8,101,288,19,94.801,280.6,13.289
148,1072,108,227,8,123,243,18,116.32,234.05,12.795
149,398,111,261,10,125,272,18,117.46,266.68,14.374
150,3553,137,404,5,159,426,21,149.23,414.36,12.788
151,58,145,584,12,152,591,16,148.67,588.1,14.069
152,1816,148,114,7,167,133,19,157.47,124.89,13.655
153,790,165,680,7,177,696,17,171.3,687.45,12.768
154,1207,175,30,9,195,45,20,184.17,37.337,14.345
155,668,180,461,8,192,475,21,186.13,467.2,14.844
156,125,188,183,11,194,189,17,190.97,186.26,13.52
157,1828,193,130,8,211,149,19,202.27,139.7,13.749
158,2418,208,520,7,223,540,22,216.18,529.38,14.301
159,40,225,334,11,231,337,15,228.4,335.1,12.95
160,975,227,278,8,239,295,18,232.59,285.62,12.601
161,986,252,125,7,264,140,18,257.55,132.93,13.026
162,2300,261,484,8,279,507,20,270.47,496.31,13.223
163,1088,272,617,9,290,630,19,281.04,623.97,13.597
164,1169,277,240,7,291,255,18,284.38,247.48,12.693
165,638,282,346,9,293,360,18,287.15,353.43,12.964
166,792,281,413,8,296,425,19,288.2,418.5,13.301
167,490,286,159,9,298,171,19,292.55,164.14,13.447
168,751,321,295,9,333,311,18,327.17,302.71,13.505
169,634,329,473,10,343,486,20,335.64,479.6,14.483
170,575,335,523,8,344,538,17,340.06,530.55,12.835
171,32,356,696,12,360,701,14,358.16,698.41,13
172,7,370,796,12,372,798,14,371,797,13
173,17,372,700,12,375,703,15,373.65,701.65,13.353
174,122,375,681,12,384,687,16,379.41,683.88,14.09
175,97,401,225,11,408,230,15,404.85,226.95,13.052
176,421,400,372,9,411,382,17,405.19,377.21,12.152
177,323,415,461,10,424,471,17,419.76,466.46,13.505
178,412,415,528,10,425,538,18,419.96,533.38,13.636
179,369,434,142,10,444,152,17,439.95,147.65,12.778
180,632,466,413,10,480,425,19,473.45,418.9,13.688
181,470,486,253,9,497,264,17,491.3,258.4,13.049
182,85,489,480,10,495,487,16,492.56,483.59,13.141
183,59,505,283,12,510,288,17,507.2,285.27,14.153
184,778,555,157,10,570,170,20,562.67,163.55,14.009
185,250,577,205,8,585,213,16,581.25,209.01,12.4
186,182,578,149,10,587,157,16,582.9,152.83,13.071
187,315,588,69,9,597,77,20,591.83,73.324,13.425
188,7,606,80,12,608,82,14,607,81,13
189,213,617,236,12,628,246,18,621.75,241.07,14.986
190,197,629,89,10,639,97,16,635.02,93.203,13.01
191,29,651,312,12,655,316,15,653.1,313.83,13.793
192,420,667,484,11,680,495,17,673.08,489.76,14.05
193,40,686,322,12,690,326,15,687.98,324.12,13.275
194,69,701,166,11,708,171,15,705.13,168.43,12.565
