value,volume,xmin,ymin,zmin,xmax,ymax,zmax,xCenter,yCenter,zCenter
1,272,57,424,13,67,431,20,61.691,427.46,16.875
2,550,58,412,12,73,427,21,66.669,419.93,17.764
3,7,796,510,17,798,512,19,797,511,18
4,1244,30,76,14,47,89,26,39.818,82.867,19.537
5,78,245,26,18,253,33,23,250.14,29.41,20.859
6,38,782,526,18,788,530,22,784.87,528,19.737
7,7,17,150,19,19,152,21,18,151,20
8,2178,49,211,16,69,233,31,58.487,222.74,22.781
9,79,192,101,18,197,107,22,194.44,103.77,19.975
10,606,11,43,17,26,55,26,18.777,48.792,21.635
11,7,67,444,20,69,446,22,68,445,21
12,1907,60,447,19,75,466,34,67.759,457.43,26.815
13,410,66,336,19,77,348,26,71.715,342.02,22.666
14,66,347,711,19,352,717,24,349.3,713.83,21.076
15,2207,699,863,14,717,881,29,708.23,871.4,21.29
16,28,26,231,21,30,235,23,28.357,232.86,22
17,3184,26,235,17,42,262,35,33.73,249.2,25.734
18,1327,26,144,17,44,158,31,36.185,150.93,23.748
19,195,42,58,20,50,67,25,46.369,62.646,22.379
20,20,86,56,21,89,60,23,87.5,58,22
21,37,93,22,20,96,27,24,94.297,24.649,21.973
22,6495,100,68,18,126,96,38,112.36,82.384,27.257
23,174,166,407,19,172,417,25,168.59,411.89,21.92
24,7,245,38,21,247,40,23,246,39,22
25,1940,267,717,16,285,735,31,276.05,726.74,22.463
26,65,344,719,21,349,726,27,346.77,723.05,23.862
27,23,411,784,21,414,787,23,412.7,785.61,22
28,245,407,667,21,419,680,26,412.94,673.98,22.918
29,362,571,524,20,586,535,26,579.26,529.38,23.403
30,133,860,863,20,866,872,25,863.19,867.39,21.917
31,92,3,295,22,11,303,25,7,298.76,23.793
32,501,5,227,20,18,238,27,11.501,232.43,23.447
33,4591,5,52,16,28,83,33,16.926,67.445,24.769
34,222,14,526,20,24,536,26,19.401,530.65,22.441
35,36,49,55,22,52,60,25,50.306,57.25,23.417
