value,volume,xmin,ymin,zmin,xmax,ymax,zmax,xCenter,yCenter,zCenter
1,12,586,881,16,588,883,19,587,882,17.5
2,17,618,876,17,620,880,19,619,878,18
3,12,719,774,17,721,777,19,720,775.5,18
4,25,733,813,17,736,817,20,734.6,815.16,18.4
5,44,734,796,17,738,800,20,736.25,798.11,18.295
6,15038,376,802,18,411,832,49,394.43,817.81,32.549
7,119,584,835,17,591,841,21,587.91,837.89,18.689
8,38,680,819,17,683,824,20,681.21,821.24,18.421
9,80,681,814,18,690,819,21,685.33,816.9,19.238
10,493,799,790,17,811,803,27,804.95,796.79,22.383
11,24,44,302,19,48,306,21,45.958,304.21,20
12,12,118,877,19,120,880,21,119,878.5,20
13,28,124,22,19,128,26,22,126.04,23.679,20.357
14,44,258,180,19,265,186,21,261.48,183.39,20
15,28,406,632,19,410,636,22,407.82,633.82,20.429
16,276,430,398,18,438,410,25,434.41,404.09,21.399
17,7,466,528,19,468,530,21,467,529,20
18,24,475,706,18,477,709,22,476,707.38,20.208
19,27,477,718,19,481,722,21,478.81,719.81,20
20,836,482,836,17,498,853,26,489.56,844.88,20.894
21,48,546,361,19,551,365,23,548.56,363.52,20.896
22,7,581,410,19,583,412,21,582,411,20
23,490,625,859,17,636,871,25,630.91,865.78,20.378
24,213,646,734,18,655,745,28,650.32,739.88,22.85
25,21,680,664,19,684,667,21,681.76,665.24,20
26,28,722,742,18,726,745,22,724,743.18,20.036
27,100,732,625,19,737,632,26,734.76,629.15,22.7
28,34,752,474,19,756,478,22,754,476,20.353
29,23,770,477,19,773,481,22,771.39,478.96,20.174
30,31,840,716,18,845,720,22,842.48,718.03,19.677
31,57,841,747,18,845,751,24,843.35,749.25,20.754
32,25,41,13,20,44,18,22,42.16,15.44,21
33,56,60,40,19,65,46,23,62.429,42.857,21.018
34,43,110,881,20,114,885,23,111.88,882.74,21.558
35,25,127,128,20,132,132,22,129.44,129.84,21
36,110,253,123,19,261,129,23,256.71,126.57,21.255
37,7,258,181,20,260,183,22,259,182,21
38,5558,335,10,19,356,35,41,345.27,23.036,30.089
39,886,332,864,19,344,875,34,338.47,869.69,27.072
40,522,351,386,20,361,396,31,356.43,390.81,26.19
41,112,380,852,19,387,860,25,383.03,855.96,21.446
42,243,396,343,20,407,354,26,401.25,349.71,22.185
43,143,461,586,19,470,592,23,465.1,589.4,20.825
44,8031,461,509,19,493,534,45,477.59,521.94,32.281
45,231,478,369,19,485,378,28,481.59,373.39,23.455
46,116,505,806,18,512,811,25,508.4,808.32,21.448
47,34,537,641,20,541,645,23,539.41,642.88,21.118
48,131,547,619,20,554,626,24,550.77,622.69,22.267
49,302,548,758,17,559,767,24,553.68,762.7,20.825
50,893,545,787,15,562,799,26,553.31,794.03,20.357
51,61,581,530,19,588,534,22,584.39,531.59,20.574
52,300,587,635,19,599,644,29,592.29,639.12,24.903
53,308,633,705,18,644,714,28,640.12,709.27,22.747
54,224,656,488,19,662,498,26,659.06,492.94,22.179
55,34,688,836,19,692,840,23,689.62,838,20.676
56,193,691,616,19,702,624,23,696.18,619.89,21.088
57,218,695,696,18,704,705,24,698.76,700.26,20.885
58,633,720,622,17,733,634,30,725.8,628.41,22.782
59,311,736,418,19,748,429,24,741.73,423,21.232
60,657,742,842,18,757,853,24,749.95,846.69,20.685
61,2168,764,852,16,787,873,32,775.15,863.95,22.929
62,57,778,629,19,784,632,24,781,630.84,21.579
63,2268,798,558,18,818,574,33,807.14,566.82,25.46
64,86,818,677,19,825,682,24,821.71,679.48,22.093
65,32,823,522,20,826,527,22,824.41,524.28,21
66,24,873,547,20,878,551,23,875.42,548.96,21.75
67,52,26,341,21,32,345,24,28.923,343.31,22.673
68,8556,27,310,19,57,337,43,43.327,323.83,30.565
69,150,112,167,20,122,175,24,117.22,170.92,21.853
70,659,149,55,19,162,69,28,156.05,62.229,22.527
71,24,208,280,20,211,284,23,209.42,282,21.417
72,57,209,220,21,215,226,24,212.07,222.86,22.298
73,686,221,281,19,232,294,29,226.74,287.52,23.551
74,7,238,859,21,240,861,23,239,860,22
75,143,332,837,20,339,844,26,335.66,840.1,23.308
76,196,351,60,19,359,69,25,354.72,63.974,22.102
77,7,387,384,21,389,386,23,388,385,22
78,297,442,96,19,452,105,26,447.48,100.36,22.414
79,2478,473,814,15,491,832,31,480.93,822.29,22.671
80,811,510,820,16,521,832,31,515.2,825.35,24.004
81,141,529,580,20,537,587,25,533.02,583.49,22.113
82,123,550,452,19,557,459,25,553.34,455.61,22.033
83,223,561,546,19,569,555,26,565.03,550.3,22.538
84,31,596,170,21,600,175,24,598.16,172.52,22.226
85,16,664,297,21,667,299,24,665.31,298,22.312
86,3737,677,660,20,698,679,46,687.34,669.47,35.271
87,2185,678,866,16,695,881,33,685.93,873.27,23.481
88,948,736,658,18,754,672,31,744,666.38,24.207
89,71,742,424,20,749,429,24,745.75,426.75,22.324
90,16,755,381,21,758,384,23,756.31,382.31,22
91,28,813,801,19,816,804,24,814.64,802.14,21.5
92,105,841,504,20,848,510,26,844.35,506.98,22.571
93,34,76,354,21,81,357,25,78.588,355.5,22.912
94,668,108,29,19,120,40,29,114.42,34.916,23.362
95,12,119,311,22,121,314,24,120,312.5,23
96,245,128,446,21,139,453,29,133.34,449.49,24.429
97,47,171,770,22,175,774,26,173.15,772.06,23.723
98,16,181,597,22,184,599,25,182.31,598,23.312
99,331,186,90,20,198,100,30,192.93,95.275,24.644
100,84,201,493,21,209,498,25,204.61,495.51,22.833
101,80,209,390,21,214,395,26,211.19,392.06,23.163
102,446,230,45,18,242,56,27,235.46,50.46,22.567
103,462,232,268,21,244,281,27,238.4,274.43,23.727
104,1290,228,381,19,244,397,31,235.89,389.49,25.3
105,706,233,201,18,248,212,29,240.2,207.12,22.581
106,438,257,475,20,265,485,33,260.92,479.98,25.208
107,17,286,865,22,289,868,25,287.65,866.35,23.647
108,224,290,138,21,299,147,27,294.44,142.08,23.839
109,1917,331,402,18,354,422,31,343.09,412.2,23.098
110,212,364,170,20,374,178,27,369.58,174.45,23.585
111,42,370,53,21,374,57,25,372.1,55.286,23.286
112,16,402,637,22,405,639,25,403.69,638,23.312
113,804,405,35,20,422,49,28,413.36,42.218,24.454
114,551,424,770,17,436,780,28,428.9,775.39,23.24
115,815,458,785,17,470,795,31,463.49,790.33,23.832
116,1149,465,674,17,479,690,29,472.52,682.75,23.139
117,560,505,445,19,517,457,27,510.5,450.86,22.863
118,122,535,426,20,542,434,27,538.07,429.61,24.18
119,1474,580,720,17,594,738,29,587.48,728.91,22.544
120,1475,576,338,19,594,350,35,584.11,343.99,26.972
121,934,605,377,18,617,396,27,611.51,385.8,22.588
122,1041,605,811,17,620,825,28,612.15,818.25,22.793
123,33,676,853,22,679,860,29,677.79,856.64,26.121
124,31,681,181,21,685,184,25,683.32,182.84,23
125,461,695,334,19,706,345,28,700.47,339.37,23.683
126,1233,705,864,16,720,879,29,712.25,871.8,22.446
127,65,713,69,21,718,74,25,715.45,71.369,22.938
128,194,717,99,20,726,108,26,722.38,103.85,22.99
129,136,742,777,21,750,783,29,746.15,780.28,24.765
130,958,749,651,20,762,665,37,755.76,658.69,28.427
131,768,756,150,20,771,165,30,763.74,156.54,24.517
132,195,784,286,20,790,295,26,787.02,291.23,23.062
133,1046,781,593,19,795,611,29,787.86,601.39,23.261
134,7,799,809,22,801,811,24,800,810,23
135,882,798,540,18,812,553,28,805.32,546.99,22.8
136,682,808,842,18,821,853,28,815.09,847.38,22.249
137,516,832,516,21,845,528,29,838.27,522.3,25.271
138,88,842,550,20,847,555,26,844.05,552.97,23.239
139,68,863,717,22,872,721,25,867.31,719.13,23.485
140,74,864,307,21,869,314,25,866.62,310.43,22.595
141,276,5,268,20,14,278,27,10.268,272.73,23.326
142,19,45,511,23,49,514,26,47.053,512.63,24.368
143,17,52,870,22,54,874,25,53,872,23.647
144,1243,77,166,19,95,180,31,85.06,172.3,24.845
145,595,85,329,20,100,340,28,92.758,334.19,24.447
146,196,90,183,19,100,190,26,94.918,185.96,23.092
147,67,116,736,23,123,743,26,119.19,739.24,24.104
148,7,120,743,23,122,745,25,121,744,24
149,401,128,453,20,138,464,29,132.39,458.81,23.796
150,442,140,321,21,149,334,28,144.8,327.81,24.324
151,115,155,481,22,163,486,26,159.13,483.62,23.904
152,7,173,775,23,175,777,25,174,776,24
153,28,182,200,23,186,204,25,184.14,202.36,24
154,560,182,4,20,194,15,30,187.69,9.7518,24.716
155,380,187,279,20,197,289,28,191.11,284.17,23.803
156,155,190,496,21,198,505,27,194.04,501.43,24.316
157,2489,190,230,18,212,248,32,200.93,238.73,24.783
158,364,211,590,21,223,600,28,217.34,594.62,24.582
159,1446,214,396,19,229,412,30,221.59,404.57,23.941
160,131,230,356,21,236,362,27,233.55,359.13,23.672
161,89,240,860,22,246,865,26,243.48,862.47,24.056
162,562,249,849,19,258,861,29,253.99,855.22,23.979
163,151,265,44,22,273,53,28,269.19,48.358,25.179
164,403,270,528,20,279,540,27,274.79,534.61,23.782
165,146,277,216,21,284,224,26,280.78,219.55,23.986
166,1030,294,665,20,309,681,30,301.01,673.14,24.862
167,271,312,258,20,321,268,28,316.57,263.52,23.908
168,872,358,547,20,373,564,29,366.17,556.25,24.274
169,1269,363,363,19,380,379,30,371.26,371.64,24.561
170,120,388,647,20,394,654,28,390.91,650.7,23.825
171,1526,405,732,20,424,753,32,414.61,743.34,26.071
172,325,422,603,19,433,613,27,426.81,607.45,23.655
173,1166,421,804,18,440,818,28,429.06,810.76,23.859
174,1366,424,372,18,440,386,29,432.48,379.35,23.451
175,381,440,230,21,449,241,28,445,236.53,24.341
176,3465,448,728,16,469,752,33,458.26,741.33,24.928
177,1487,465,772,17,481,786,31,472.58,779.29,23.987
178,597,467,299,20,481,314,27,472.94,307.93,23.961
179,773,484,794,16,493,805,31,487.89,799.89,23.217
180,1022,474,224,20,490,240,31,480.91,232.94,25.609
181,8471,515,824,17,542,848,43,528.65,836.12,29.797
182,140,519,86,21,525,93,28,521.32,89.721,24.036
183,1079,523,9,19,536,24,31,529.36,16.573,24.982
184,68,537,737,23,545,740,29,541.47,738.63,25.397
185,721,546,862,19,558,873,31,551.63,867.69,24.447
186,2906,564,737,17,584,758,31,574.79,748.29,23.796
187,597,583,414,18,593,427,29,587.75,419.95,23.176
188,1943,586,767,17,605,783,31,595.71,775.23,23.508
189,7,606,592,23,608,594,25,607,593,24
190,59,612,831,22,618,835,26,615.19,833,23.949
191,81,638,123,23,645,131,26,641.46,127.38,24.432
192,641,701,529,19,713,541,28,706.8,535.7,23.805
193,459,727,175,21,741,187,28,734.42,181.19,24.431
194,60,753,351,21,759,356,26,756.12,353.55,23.767
195,63,776,398,22,781,404,26,778.38,400.57,23.984
196,1864,773,785,17,791,801,31,782.45,793.66,24.282
197,7,792,281,23,794,283,25,793,282,24
198,581,812,382,21,825,395,29,817.94,389.2,24.503
199,228,815,283,21,823,289,28,818.93,286.03,24.36
200,197,817,48,22,826,57,27,821.54,51.873,24.223
201,1152,854,679,18,866,695,31,860.7,687.25,24.569
202,649,25,274,21,37,286,31,31.287,279.51,25.661
203,188,34,144,23,41,154,29,37.346,148.9,25.968
204,1213,34,260,19,46,276,33,39.641,267.28,25.534
205,167,38,431,23,45,439,30,41.036,435.37,26.03
206,1126,57,440,21,76,452,31,67.433,445.66,25.993
207,2142,67,81,19,87,96,32,77.037,88.374,25.172
208,638,154,647,22,167,665,29,159.87,656.34,25.563
209,765,180,392,21,196,407,31,188.52,398.94,26.15
210,735,190,647,22,202,661,36,196.2,654.31,30.016
211,881,242,177,19,254,192,31,247.67,184.03,24.994
212,2552,245,206,18,263,225,32,254.15,215.61,24.966
213,257,260,35,22,270,45,28,264.93,40.518,25.113
214,946,296,10,20,310,22,30,303.21,15.666,25.251
215,283,310,19,22,320,28,30,315.53,23.852,25.982
216,25731,292,278,20,336,317,58,311.99,298.03,39.356
217,852,330,559,20,343,576,30,336.45,567.72,25.736
218,806,344,71,21,356,86,31,349.99,78.697,25.965
219,1173,354,678,19,369,695,31,361.32,686.51,24.706
220,426,369,564,20,380,574,28,374.58,569.55,24.019
221,1620,382,401,19,400,414,34,390.66,407.43,26.237
222,1808,393,679,19,404,700,36,398.9,689.58,26.499
223,715,411,504,19,423,516,31,416.9,509.91,25.029
224,271,424,193,22,431,205,28,428.26,199.18,24.72
225,858,424,556,19,436,569,31,430.29,562.73,25.389
226,1445,425,832,18,439,853,31,431.72,842.42,25.092
227,152,428,208,23,435,216,28,431.59,212.37,25.02
228,158,434,83,21,441,91,27,437.3,87.165,24.297
229,2185,437,561,18,455,582,33,446.22,570.21,25.71
230,303,468,487,23,477,499,28,472.23,492.38,25.403
231,557,470,722,17,483,737,30,477.21,731.32,23.652
232,1672,473,494,19,490,511,34,482.57,502.81,26.846
233,262,482,567,22,492,577,31,486.21,572.31,26.248
234,12,493,424,24,496,427,26,494.5,425.5,25
235,462,497,319,21,505,330,31,501.25,324.42,26.366
236,857,499,398,21,516,412,30,506.39,404.04,25.579
237,888,500,364,21,516,378,30,508.44,370.57,25.788
238,2473,512,687,19,526,708,35,519.62,698.34,27.447
239,689,519,367,20,532,380,30,525.77,374.12,24.344
240,41,537,136,24,541,140,29,539.49,138.02,26.073
241,7,538,643,24,540,645,26,539,644,25
242,800,544,693,19,556,706,31,549.82,699.12,25.434
243,2528,553,498,18,572,519,32,562.13,508.43,25.062
244,2405,564,345,18,582,362,32,572.63,353.72,24.794
245,7,594,181,24,596,183,26,595,182,25
246,970,590,873,16,600,885,33,594.99,879.31,24.43
247,220,610,200,21,619,210,31,615.06,204.26,25.586
248,120,640,196,23,647,203,28,643.64,200.29,25.083
249,1493,642,685,19,657,702,33,649.73,693.78,26.416
250,313,656,269,23,671,276,31,662.86,272.37,27.038
251,339,711,75,22,721,88,29,716.19,81.799,25.484
252,218,744,337,22,754,344,28,748.45,340.58,25.748
253,819,788,507,21,800,525,31,793.97,515.12,25.591
254,167,797,726,21,804,732,28,800.54,729.07,24.641
255,297,802,762,21,810,774,31,805.9,767.95,26.404
256,298,802,317,23,812,328,28,806.27,322.48,25.611
257,252,809,25,21,817,34,28,813.23,29.194,24.587
258,412,833,22,21,842,32,31,837.83,26.689,26.143
259,1204,849,786,18,864,802,31,856.79,794.83,24.595
260,155,868,83,23,878,90,27,872.85,86.994,25.135
261,53,877,145,23,882,149,27,879.45,146.58,24.981
262,100,23,639,25,30,646,28,26.87,642.31,26.06
263,1426,23,216,19,41,230,32,33.257,222.56,25.52
264,2452,30,28,19,50,48,32,39.567,37.747,26.374
265,1093,46,333,20,60,352,31,53.331,342.91,25.68
266,84,61,865,24,68,872,29,64.619,868.71,26.881
267,132,79,547,23,85,553,31,82.47,550.14,26.879
268,39,98,259,24,102,263,27,99.974,261.38,25.487
269,528,109,148,21,118,159,33,114.14,153.57,27.085
270,2513,128,11,19,144,32,36,135.79,22.096,27.152
271,239,139,477,22,148,486,30,142.88,481.73,27.054
272,120,176,279,22,182,288,29,178.88,283.83,26.1
273,1296,180,74,19,194,89,32,186.68,81.488,26.005
274,3140,183,135,19,203,159,33,193.27,147.43,25.661
275,2225,188,430,19,209,451,34,198.76,439.38,26.795
276,2756,191,186,20,208,205,37,199.44,194.47,27.948
277,431,224,785,21,233,798,30,228.89,791.24,25.582
278,1636,230,500,20,244,523,33,236.79,512.04,27.384
279,1478,244,46,20,258,63,31,252,54.495,25.689
280,37904,278,547,19,329,586,60,302.14,566.55,39.749
281,178,337,495,24,345,502,32,341.06,499.11,28.118
282,2404,366,149,20,384,171,34,375.15,160.73,26.334
283,197,370,281,22,378,288,29,373.8,284.67,25.477
284,79,374,674,24,378,680,28,375.85,677.46,25.709
285,512,382,716,20,392,728,29,387.03,721.67,24.914
286,259,395,852,23,404,859,30,399.06,855.91,26.185
287,242,414,761,23,423,771,29,418.71,765.56,26.289
288,7,419,698,25,421,700,27,420,699,26
289,1253,412,71,21,431,86,31,422.21,78.081,25.598
290,221,455,575,22,463,585,29,459.24,580.76,25.67
291,974,470,578,21,487,589,34,479.11,583.36,27.119
292,2991,491,816,16,510,836,34,500.5,826.26,25.287
293,727,501,412,20,516,422,31,508.27,417.37,25.99
294,145,509,185,22,516,191,29,512.23,187.93,25.731
295,1163,511,94,20,521,110,34,516.38,102.28,26.62
296,5114,513,609,19,535,632,40,523.81,620.57,29.256
297,311,522,502,23,530,514,33,526.23,507.39,27.781
298,82,537,58,23,543,63,28,539.61,60.366,25.744
299,2586,533,342,19,550,362,34,541.57,352.63,26.601
300,223,541,372,23,549,380,29,545.51,376.19,26
301,1189,548,360,19,564,374,35,556.82,367.52,26.57
302,769,567,191,21,579,203,32,572.68,197.08,26.07
303,3605,567,781,16,585,799,40,575.93,790.24,28.255
304,2646,578,377,18,601,395,33,588.21,384.56,26.005
305,873,587,327,22,598,339,34,592.18,333.49,26.85
306,933,588,310,21,600,326,32,594.64,317.12,26.482
307,2717,586,395,19,607,412,32,596.41,404.13,25.576
308,7,602,609,25,604,611,27,603,610,26
309,880,600,108,21,611,125,31,604.78,116.51,26.364
310,89,632,708,23,638,714,28,634.61,710.76,25.663
311,364,649,54,23,660,64,31,653.86,59.277,26.986
312,298,655,778,21,667,784,30,661.09,780.9,25.638
313,223,679,149,23,688,155,29,683.39,152.09,25.83
314,1642,679,389,20,697,407,33,687.12,398.21,26.264
315,4016,684,641,18,705,664,36,694.11,651.86,26.918
316,616,688,454,20,702,461,32,694.43,457.35,26.437
317,64,693,135,24,699,141,27,695.66,138.03,25.422
318,2280,699,850,16,718,866,33,707.5,858.09,24.879
319,2129,702,556,18,717,575,34,709.98,565.55,26.075
320,247,740,154,23,749,165,29,744.87,158.59,25.615
321,233,741,635,21,750,641,29,745.52,637.92,25.21
322,357,741,241,22,754,250,30,748.22,245.89,26.176
323,164,750,773,22,756,779,30,752.77,775.89,26.03
324,1006,752,257,20,768,268,32,760.01,262.03,25.738
325,2015,757,85,20,777,101,33,766.89,93.864,26.602
326,14,799,86,25,802,89,28,800.5,87.5,26.5
327,9717,783,785,26,814,810,53,799.56,798.07,40.155
328,693,798,208,21,813,220,31,806.34,214.1,26.361
329,297,810,141,23,817,150,33,813.47,145.41,27.128
330,17,846,750,25,848,754,27,847,752,26
331,1523,853,808,18,870,820,35,862.19,814.67,25.965
332,2397,8,252,19,25,272,34,16.322,261.7,26.534
333,2723,33,269,20,54,297,34,45.156,284.58,27.152
334,750,65,586,23,77,598,36,71.035,592.45,28.477
335,2581,67,332,19,86,350,37,76.783,341.2,27.896
336,717,85,703,22,97,718,31,90.902,711.41,26.905
337,1797,89,372,20,106,392,32,98.357,381.5,26.401
338,3937,95,117,19,115,140,38,105.74,128.55,27.244
339,2519,142,69,19,159,87,37,150.21,79.32,27.524
340,482,145,626,24,155,637,33,149.69,632.35,28.156
341,36,166,41,24,170,45,28,167.86,42.639,26.361
342,653,180,728,22,192,741,31,185.97,733.63,26.565
343,2224,195,40,20,214,58,34,205.11,49.746,26.875
344,432,227,340,23,241,350,33,233.47,344.87,27.139
