value,volume,xmin,ymin,zmin,xmax,ymax,zmax,xCenter,yCenter,zCenter
1,24,864,837,5,868,841,8,865.83,838.83,6.5417
2,7,791,854,7,793,856,9,792,855,8
3,3308,818,603,6,835,626,28,827,615.11,17.808
4,7,837,569,7,839,571,9,838,570,8
5,14,878,761,7,881,765,9,879.5,763,8
6,37,622,612,8,626,616,14,623.73,613.49,10.649
7,14,638,461,8,642,464,10,640,462.5,9
8,369,801,813,8,810,828,16,804.38,822.22,12.496
9,134,64,114,8,69,122,13,66.142,118.16,10.746
10,284,98,6,7,106,15,15,101.48,10.07,10.187
11,94,150,10,8,156,17,12,153.61,13.894,10.394
12,114,173,16,7,179,23,12,175.93,19.623,9.8421
13,12,314,68,9,316,71,11,315,69.5,10
14,346,500,807,8,514,821,15,507.81,813.77,10.165
15,42,555,295,9,558,301,15,556.6,297.52,12.69
16,5000,574,529,9,597,552,31,585.89,540.23,19.334
17,26,638,632,8,643,634,12,640.54,633.54,10
18,100,638,635,8,643,641,12,640.69,637.42,10.18
19,23,685,475,9,688,478,12,686.17,476.39,10.609
20,262,684,643,7,694,653,16,689.01,648.11,11.176
21,30,696,792,8,700,797,10,698.27,794.6,9.4
22,26,714,550,9,717,554,12,715.58,552,10.577
23,50,758,455,8,762,459,11,760.18,457.06,9.56
24,35,818,7,8,822,12,12,819.6,9.4286,9.9429
25,831,850,662,6,864,675,20,856.5,669.39,13.456
26,144,863,659,8,869,670,16,866.38,664.84,12.049
27,637,867,656,7,881,669,15,874.9,662.99,10.482
28,53,58,217,9,63,222,13,60.491,219.13,10.925
29,227,139,9,8,146,17,15,143.15,12.93,10.419
30,102,161,180,9,170,186,13,165.33,182.39,11.245
31,12,171,295,10,174,297,13,172.5,296,11.5
32,326,189,75,9,200,83,17,194,78.466,12.34
33,50,224,490,10,229,495,14,226.84,492.14,11.76
34,16,255,490,10,258,493,12,256.31,491.69,11
35,148,310,237,9,319,245,14,314.22,240.7,11.642
36,104,366,27,9,371,33,14,368.59,30.404,11.173
37,7,440,722,10,442,724,12,441,723,11
38,12,464,8,10,467,10,12,465.5,9,11
39,562,496,333,10,509,347,18,503.18,339.46,14.338
40,42,523,854,10,527,859,12,525,856.83,11
41,7,539,766,10,541,768,12,540,767,11
42,76,545,813,9,550,817,14,547.62,815.17,11.408
43,12,550,844,10,553,847,12,551.5,845.5,11
44,16,556,477,10,559,480,12,557.69,478.69,11
45,116,596,328,9,605,336,14,600.69,332.18,11.724
46,7,614,160,10,616,162,12,615,161,11
47,38,627,781,9,631,786,12,628.89,783.76,10.237
48,172,721,542,8,729,550,14,724.67,546.83,11
49,59,742,472,9,746,479,12,743.61,475.46,10.678
50,408,755,238,8,764,249,15,759.28,243.39,11.684
51,128,764,569,9,772,577,16,767.58,572.21,11.852
52,777,762,627,6,777,637,17,768.56,632.06,11.311
53,37,790,851,9,794,856,12,791.81,853.24,10.838
54,173,829,212,9,836,220,16,832.29,215.84,12.243
55,587,838,805,5,853,816,15,845.38,810.35,10.089
56,390,851,798,8,859,809,18,855.18,803.16,12.51
57,636,852,851,6,864,860,16,857.98,855.87,11.209
58,1285,853,775,6,866,794,18,859.24,784.78,12.253
59,71,867,524,9,872,531,13,869.3,527.96,10.887
60,139,865,834,8,872,841,14,868.84,837.46,10.691
61,377,10,215,8,22,224,16,16.207,219.3,11.721
62,68,34,34,10,38,39,16,36.485,36.485,12.956
63,317,66,84,10,77,94,16,71.893,89.215,12.707
64,319,84,55,9,95,65,15,89.492,60.091,11.812
65,503,211,38,7,222,50,17,216.78,43.851,11.972
66,464,234,38,7,245,47,17,239.17,43.131,12.065
67,37,237,302,11,242,306,15,239.73,304.24,12.892
68,247,286,289,10,296,299,15,290.45,294.63,12.571
69,75,330,302,11,336,309,14,332.96,305.56,12.68
70,126,376,869,11,386,878,14,380.9,873.16,12.802
71,23,413,459,11,416,464,14,414.22,461.61,12.696
72,22,419,686,11,421,688,16,420,687,13.5
73,17,426,734,11,429,738,13,427.65,736,12
74,334,429,245,9,442,257,16,436.47,251.14,12.695
75,62,450,85,11,455,92,15,452.94,88.403,12.887
76,12,453,648,11,455,651,13,454,649.5,12
77,92,458,247,10,463,253,15,460.59,249.87,12.467
78,226,502,220,10,511,231,15,507.24,225.82,12.712
79,125,508,594,10,515,601,14,511.67,597.81,11.752
80,104,525,35,9,531,40,14,528.12,37.837,11.702
81,29,526,48,10,530,51,14,528.31,49.241,11.966
82,7,546,851,11,548,853,13,547,852,12
83,12,567,241,11,569,244,13,568,242.5,12
84,196,565,728,10,573,739,17,568.63,733.69,12.842
85,173,569,503,9,576,511,14,572.4,507.57,11.566
86,769,592,858,8,605,872,20,598.63,865.63,14.274
87,258,605,295,9,613,306,15,609.23,300.05,11.996
88,34,610,590,11,614,594,14,612.12,591.88,12.118
89,312,615,635,9,625,646,15,620.68,640.47,11.958
90,325,625,786,8,634,796,16,629.4,791.13,11.283
91,7,711,450,11,713,452,13,712,451,12
92,16,720,711,11,723,713,14,721.31,712,12.688
93,291,719,91,9,732,97,18,725.83,93.897,13.076
94,84,755,59,10,761,65,14,757.88,61.952,12.333
95,101,773,762,10,778,769,16,775.47,765.84,12.931
96,235,780,832,9,790,837,17,785.11,834.3,13.243
97,92,842,160,10,847,166,15,844.74,162.62,12.478
98,456,852,751,7,861,760,18,855.48,756.31,12.186
99,845,852,569,7,864,583,19,858.31,575.73,13.059
100,350,869,824,10,879,831,20,874.21,827.92,15.597
101,12,20,284,12,22,287,14,21,285.5,13
102,138,28,235,10,35,241,17,31.884,237.67,13.333
103,1209,38,162,9,58,176,18,47.268,168.75,13.871
104,61,60,281,10,66,284,15,63.541,282.66,12.885
105,98,68,256,10,73,262,15,70.673,258.73,12.643
106,683,80,198,8,93,211,17,86.624,204.75,13.173
107,670,93,91,10,105,103,19,99.281,96.816,14.543
108,130,106,2,9,113,7,16,109.62,4.1769,12.346
109,71,125,178,11,131,184,15,128.31,180.61,13.099
110,1489,125,20,8,145,38,18,134.98,29.026,13.119
111,19,146,2,12,149,6,15,147.37,4.0526,13.316
112,12,147,406,12,150,408,15,148.5,407,13.5
113,215,180,293,10,186,302,16,183.22,296.82,13.042
114,261,190,237,10,201,246,16,196.04,241.54,13.364
115,1568,182,207,8,201,221,20,192.19,213.66,13.549
116,555,200,213,9,213,226,18,206.9,220.72,13.285
117,817,219,27,8,230,40,18,224.45,33.193,12.909
118,7,276,725,12,278,727,14,277,726,13
119,166,287,49,10,295,58,15,291.19,54.301,12.006
120,35,293,617,12,297,622,14,294.57,619.74,13
121,779,318,24,9,333,39,18,325.33,32.286,13.288
122,490,325,316,9,336,329,16,329.71,322.74,12.535
123,215,330,430,11,341,439,19,335.75,434.92,13.884
124,17,431,677,12,435,680,14,433,678.35,13
125,414,444,847,10,454,860,19,448.75,854.15,13.836
126,258,553,872,9,563,880,18,557.52,876.65,13.368
127,57,576,33,10,581,37,16,578.09,34.596,12.86
128,441,569,773,9,582,783,17,576.43,778.22,13.236
129,329,580,413,9,588,423,17,583.63,418.19,12.967
130,38,599,58,12,605,61,16,601.66,59.605,13.895
131,49,610,862,12,617,866,16,612.69,864.02,14.388
132,314,655,257,10,665,266,18,660.53,262.2,13.745
133,103,665,640,10,671,646,15,668.24,643.16,13.049
134,196,678,318,12,685,326,22,681.9,322.23,16.602
135,113,682,717,11,688,723,17,684.67,719.69,13.646
136,506,689,56,8,703,68,15,695.33,62.314,12.326
137,48,709,516,12,716,520,14,712.27,517.85,13
