value,volume,xmin,ymin,zmin,xmax,ymax,zmax,xCenter,yCenter,zCenter
1,12,255,65,3,257,68,5,256,66.5,4
2,129,7,324,3,13,336,7,9.7364,331.04,4.5969
3,973,176,145,2,188,167,10,181.89,156.66,5.8191
4,289,197,40,2,206,53,7,201.81,47.208,4.4948
5,63,250,57,3,255,62,7,252.73,59.825,5.3492
6,283,3,92,2,11,100,11,7.3392,96.753,7.2933
7,287,29,246,3,40,255,9,34.286,250.2,6.0592
8,544,51,16,2,64,27,12,58.599,21.803,7.1195
9,140,69,252,4,77,261,8,72.414,256.57,5.8071
10,33,176,250,5,180,253,8,178.36,251.64,6.5152
11,16,194,180,5,197,183,7,195.31,181.31,6
12,171,208,33,4,215,44,9,211.6,38.439,6.0175
13,41,256,179,5,260,184,8,257.8,181.24,6.5122
14,12,260,85,5,263,87,7,261.5,86,6
15,49,265,72,4,269,77,8,266.53,74.633,6.3673
16,469,5,310,3,15,319,11,9.4414,314.44,6.7783
17,1251,43,73,2,58,88,13,50.175,80.422,7.3421
18,682,43,167,2,57,178,13,49.956,172.39,7.2155
19,414,86,90,3,98,100,12,91.594,94.778,7.8527
20,878,94,36,2,110,48,13,101.26,42.436,7.2062
21,253,99,113,6,108,125,13,103.87,119.29,9.4664
22,682,112,8,2,125,21,11,118.1,15.035,6.6877
23,1822,163,108,2,179,128,13,171.03,117.39,7.5412
24,43,183,116,6,188,120,9,185.63,118.02,7.5581
25,901,179,130,3,194,145,13,186.29,136.64,7.0244
26,317,228,96,5,242,106,9,233.95,101.38,6.6498
27,135,257,117,4,263,125,11,259.89,121.04,7.1259
28,117,335,99,5,342,107,9,338.63,102.74,6.4701
29,1457,18,191,2,33,209,15,25.371,199.44,7.4084
30,230,32,500,6,39,508,15,35.361,503.97,9.9522
31,1210,43,678,7,61,693,20,52.789,685.57,13.764
32,191,98,408,5,105,415,13,101.76,411.59,9.1885
33,966,107,113,4,123,128,13,116.11,121.4,7.7391
34,1581,116,70,3,132,85,16,124.32,77.456,8.8735
35,636,117,304,5,132,316,13,124.73,309.53,8.5943
36,806,121,26,2,133,38,13,126.38,31.717,7.5968
37,14,159,28,7,162,31,10,160.5,29.5,8.5
38,68,209,268,6,215,277,10,211.93,272.46,8.2647
39,28,243,238,6,246,242,9,244.5,240,7.5
40,1246,263,126,3,282,144,17,272.76,134.62,9.0297
41,189,290,37,5,299,45,11,294.31,40.857,8.4444
42,1794,4,402,3,21,418,17,12.975,410.63,9.8289
43,3724,16,252,3,38,276,18,27.872,262.42,9.7997
44,1760,22,389,4,40,408,14,31.578,397.64,8.9722
45,44,38,633,7,45,636,14,41.318,634.25,10.432
46,939,34,174,3,47,186,14,40.584,180.24,8.7678
47,5158,27,91,2,54,115,19,40.852,103.45,9.9368
48,499,37,233,5,49,246,12,43.609,239.79,8.2645
