value,volume,xmin,ymin,zmin,xmax,ymax,zmax,xCenter,yCenter,zCenter
1,16,323,124,12,326,126,15,324.69,125,13.688
2,240,494,160,12,503,168,18,498.53,163.97,14.329
3,1354,304,126,10,319,139,25,312.01,132.53,17.702
4,6955,79,35,2,99,63,35,88.651,48.001,18.891
5,157,312,113,14,318,119,23,314.95,115.49,18.535
6,43,411,254,17,416,257,22,413.28,255.6,19.419
7,243,425,180,17,434,190,23,430.16,184.16,19.996
8,7,321,113,20,323,115,22,322,114,21
9,21,313,119,21,317,122,25,314.76,120.24,22.952
10,115,317,126,22,322,132,29,319.65,128.81,25.478
11,1112,168,91,22,185,106,32,176.81,98.671,27.058
12,7,519,155,28,521,157,30,520,156,29
13,13338,114,350,22,154,390,47,135.69,370.12,35.676
14,17,514,156,31,518,158,34,516,157,32.647
15,11635,287,323,26,323,359,48,306.06,341.04,36.507
16,18118,390,340,17,421,373,52,405.6,356.68,33.176
17,5013,205,208,22,231,234,49,220.22,220.65,34.813
18,14129,476,111,22,525,142,47,501.6,125.42,34.965
19,50,518,178,34,524,182,39,521.58,180.18,36.44
20,3524,87,122,29,111,142,45,99.881,132.39,37.358
21,7,145,113,36,147,115,38,146,114,37
22,13713,617,22,25,651,52,53,634.01,36.266,38.459
23,12,681,16,36,683,19,39,682,17.5,37.5
24,4630,46,274,30,75,304,49,61.971,291.35,39.506
25,1561,49,659,33,71,675,48,59.028,666.64,40.34
26,269,183,101,34,191,113,44,187.35,107.2,39.178
27,89,548,304,36,555,309,45,551.24,306.97,39.348
28,661,52,673,35,68,688,46,60.582,681.22,40.445
29,182,57,652,37,62,659,45,59.863,655.61,40.06
30,7143,46,712,30,76,741,49,60.91,726.67,39.263
31,1781,131,739,33,153,758,46,139.98,748.22,40.199
32,16,153,541,38,156,544,40,154.69,542.69,39
33,21,254,284,38,258,287,40,255.76,285.76,39
34,4658,469,296,31,495,323,53,482.05,310.07,41.744
35,160,534,304,35,543,314,44,537.29,308.84,38.825
36,991,673,116,35,685,134,45,678.95,124.81,39.448
37,14071,667,35,25,700,63,54,683.58,49.07,39.541
38,90,27,268,38,33,272,44,29.7,269.81,40.789
39,36,77,276,37,81,279,42,79,277.56,39.556
40,104,173,659,38,179,668,42,176.16,663.84,39.837
41,318,204,275,37,215,283,46,209.56,280.1,41.264
42,339,334,81,37,343,92,47,337.94,87.071,41.732
43,7,17,506,40,19,508,42,18,507,41
44,368,36,748,37,44,758,47,39.957,753.26,41.655
45,148,121,161,38,131,166,44,125.88,163.59,40.804
46,223,149,727,39,163,734,45,155.73,730.37,41.785
47,30,249,803,39,252,807,43,250.73,804.83,41.1
48,190,253,310,37,262,318,44,257.72,313.88,40.942
49,1215,286,178,36,301,191,49,293.69,184.57,41.401
50,325,358,107,37,369,114,46,362.69,110.86,41.523
51,218,16,514,38,25,521,44,20.252,517.46,41.734
52,355,44,819,38,53,829,46,48.49,823.53,42.231
53,12,704,25,40,706,27,43,705,26,41.5
54,108,60,626,41,66,633,46,62.667,629.7,43.583
55,241,112,729,41,122,741,47,117.12,736.37,44.12
56,255,139,505,40,152,515,47,146.01,510.16,43.992
57,156,158,540,41,166,550,48,161.47,545.01,43.853
